method,condition,seed,attack_level,timestep,reward,distance_to_goal,is_success,action_norm,intended_action_norm,safety_violation,recovery_triggered
rule_based_recovery,action_noise,2,0.05,38,-0.0,0.005493956058205,1.0,0.101047433912754,0.0199005659669637,0.0,0.0
rule_based_recovery,action_noise,2,0.05,39,-0.0,0.0050489420056678,1.0,0.0392514504492282,0.0274699609726667,0.0,0.0
rule_based_recovery,action_noise,2,0.05,40,-0.0,0.0043779337846361,1.0,0.0917496532201767,0.025244953110814,0.0,1.0
rule_based_recovery,action_noise,2,0.05,41,-0.0,0.0049771987449313,1.0,0.0615335926413536,0.0218897350132465,0.0,0.0
rule_based_recovery,action_noise,2,0.05,42,-0.0,0.0037127069692425,1.0,0.0852412581443786,0.0248857606202363,0.0,1.0
rule_based_recovery,action_noise,2,0.05,43,-0.0,0.0029294145719737,1.0,0.0805720463395118,0.01856379956007,0.0,0.0
rule_based_recovery,action_noise,2,0.05,44,-0.0,0.0029957585496301,1.0,0.0652392506599426,0.0146473450586199,0.0,0.0
rule_based_recovery,action_noise,2,0.05,45,-0.0,0.0051156506261771,1.0,0.0710871368646621,0.0149788158014416,0.0,0.0
rule_based_recovery,action_noise,2,0.05,46,-0.0,0.0050682837080775,1.0,0.0903506949543953,0.0255782660096883,0.0,1.0
rule_based_recovery,action_noise,2,0.05,47,-0.0,0.005590369040845,1.0,0.0588447414338588,0.0253413934260606,0.0,0.0
rule_based_recovery,action_noise,2,0.05,48,-0.0,0.0063864966425441,1.0,0.0999345630407333,0.0279522258788347,0.0,0.0
rule_based_recovery,action_noise,2,0.05,49,-0.0,0.0047653509679113,1.0,0.095862329006195,0.03193274512887,0.0,0.0
rule_based,action_scale,2,0.5,0,-1.0,0.1025434736807389,0.0,0.9965486526489258,0.6643657684326172,0.0,0.0
rule_based,action_scale,2,0.5,1,-1.0,0.0763045146616669,0.0,0.7690760493278503,0.5127173662185669,0.0,0.0
rule_based,action_scale,2,0.5,2,-1.0,0.057058001424698,0.0,0.5722839832305908,0.3815226852893829,0.0,0.0
rule_based,action_scale,2,0.5,3,-0.0,0.0426623851452233,1.0,0.4279350638389587,0.2852900326251983,0.0,0.0
rule_based,action_scale,2,0.5,4,-0.0,0.0319170667976258,1.0,0.319968044757843,0.213312029838562,0.0,0.0
rule_based,action_scale,2,0.5,5,-0.0,0.0238927247939015,1.0,0.2393777668476104,0.1595851778984069,0.0,0.0
