method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx
random_recovery,action_reverse,1,0.0,-9.0,1.0,0.002054274124165019,50,0.072422556579113,0.17112629115581512,0.0,1.0,6
random,action_reverse,1,0.0,-49.0,1.0,0.20597841287474006,50,1.5646381378173828,1.1172751188278198,1.0,0.0,7
random_recovery,action_reverse,1,0.0,-2.0,1.0,0.0056262160987834665,50,0.06863802671432495,0.08358060568571091,0.0,1.0,7
random,action_reverse,1,0.0,-50.0,0.0,0.34753159707752124,50,1.5070875883102417,1.0768980979919434,1.0,0.0,8
random_recovery,action_reverse,1,0.0,-6.0,1.0,0.005015976571415712,50,0.06176700070500374,0.12809018790721893,0.0,1.0,8
random,action_reverse,1,0.0,-50.0,0.0,0.08463795222268439,50,1.530692219734192,1.059137225151062,1.0,0.0,9
random_recovery,action_reverse,1,0.0,-5.0,1.0,0.00286794135108821,50,0.06022067368030548,0.11472440510988235,0.0,1.0,9
rule_based,action_delay,1,0.0,-50.0,0.0,0.11812888507090265,50,0.0,0.0,0.0,0.0,0
rule_based_recovery,action_delay,1,0.0,-50.0,0.0,0.11812888507090265,50,0.0,0.0,0.0,0.0,0
rule_based,action_delay,1,0.0,-50.0,0.0,0.16674804083353512,50,0.0,0.0,0.0,0.0,1
rule_based_recovery,action_delay,1,0.0,-14.0,1.0,0.003193431760596154,50,0.07072333991527557,0.34668442606925964,0.0,1.0,1
rule_based,action_delay,1,0.0,-50.0,0.0,0.14856976495511945,50,0.0,0.0,0.0,0.0,2
rule_based_recovery,action_delay,1,0.0,-14.0,1.0,0.004354972838628743,50,0.06447449326515198,0.3160525858402252,0.0,1.0,2
rule_based,action_delay,1,0.0,-50.0,0.0,0.1338437788376919,50,0.0,0.0,0.0,0.0,3
rule_based_recovery,action_delay,1,0.0,-50.0,0.0,0.1338437788376919,50,0.0,0.0,0.0,0.0,3
rule_based,action_delay,1,0.0,-50.0,0.0,0.13997164380901286,50,0.0,0.0,0.0,0.0,4
rule_based_recovery,action_delay,1,0.0,-50.0,0.0,0.13997164380901286,50,0.0,0.0,0.0,0.0,4
rule_based,action_delay,1,0.0,-50.0,0.0,0.19076124424566182,50,0.0,0.0,0.0,0.0,5
rule_based_recovery,action_delay,1,0.0,-50.0,0.0,0.19076124424566182,50,0.0,0.0,0.0,0.0,5
rule_based,action_delay,1,0.0,-50.0,0.0,0.22584080380539412,50,0.0,0.0,0.0,0.0,6
rule_based_recovery,action_delay,1,0.0,-50.0,0.0,0.22584080380539412,50,0.0,0.0,0.0,0.0,6
rule_based,action_delay,1,0.0,0.0,1.0,0.04493471196079773,50,0.0,0.0,0.0,0.0,7
rule_based_recovery,action_delay,1,0.0,0.0,1.0,0.005744696192959342,50,0.011973432265222073,0.05867462977766991,0.0,1.0,7
rule_based,action_delay,1,0.0,-50.0,0.0,0.15620760366077882,50,0.0,0.0,0.0,0.0,8
rule_based_recovery,action_delay,1,0.0,-50.0,0.0,0.15620760366077882,50,0.0,0.0,0.0,0.0,8
rule_based,action_delay,1,0.0,-50.0,0.0,0.13175679926719414,50,0.0,0.0,0.0,0.0,9
rule_based_recovery,action_delay,1,0.0,-13.0,1.0,0.004284064242636043,50,0.06178935617208481,0.3027805685997009,0.0,1.0,9
rule_based,action_reverse,1,0.0,-50.0,0.0,1.6155023932620345,50,0.030809491872787476,1.6027014255523682,1.0,0.0,0
